shots,exp,src_lang,tgt_lang,num_probs,Pass@1(n=20),Pass@5(n=20),Pass@10(n=20),type_error,undeclared_error,other_syntax_error,assertion_error,runtime_error,unhelpful,25,50,75,100
0,baseline,d,lua,116,0.293,0.34,0.354,0.009051724137931033,0.27327586206896554,0.16853448275862074,0.2560344827586207,0.0,0.0,0.4266666666666667,0.3321428571428572,0.17758620689655175,0.23275862068965517
0,exp-lbl-d,d,lua,116,0.289,0.343,0.365,0.017241379310344827,0.2685344827586207,0.20043103448275867,0.22456896551724143,0.0,0.0,0.37,0.34464285714285714,0.253448275862069,0.1879310344827586
0,exp,d,lua,116,0.281,0.336,0.348,0.003879310344827585,0.26422413793103455,0.2120689655172414,0.2387931034482759,0.0,0.0,0.40166666666666667,0.3392857142857143,0.20862068965517241,0.1724137931034483
0,exp-lbl,d,lua,116,0.288,0.341,0.362,0.014655172413793103,0.277155172413793,0.20689655172413793,0.2129310344827587,0.0,0.0,0.37,0.33392857142857146,0.2689655172413794,0.1793103448275862
0,exp,py,d,156,0.144,0.183,0.2,0.05160256410256409,0.25352564102564096,0.45897435897435895,0.07852564102564102,0.013461538461538459,0.0,0.26153846153846155,0.2225,0.05921052631578951,0.02820512820512821
0,exp-lbl-d,py,d,156,0.15,0.189,0.206,0.06153846153846153,0.23525641025641036,0.4506410256410258,0.08653846153846156,0.015705128205128205,0.0,0.29487179487179493,0.21000000000000005,0.053947368421052674,0.0384615384615385
0,baseline,py,d,156,0.117,0.164,0.185,0.07307692307692307,0.2689102564102564,0.4836538461538461,0.054166666666666675,0.0028846153846153856,0.0,0.21923076923076926,0.15875,0.050000000000000024,0.03846153846153847
0,exp-lbl,py,d,156,0.158,0.192,0.204,0.05673076923076925,0.2637820512820512,0.4506410256410257,0.058653846153846154,0.01217948717948718,0.0,0.3320512820512821,0.21375000000000005,0.04473684210526321,0.03717948717948722
0,exp-lbl-d,py,sh,158,0.117,0.221,0.264,0.0,0.002531645569620253,0.5259493670886077,0.3724683544303798,0.0,0.0,0.08250000000000005,0.07564102564102566,0.11794871794871796,0.12000000000000002
0,exp-lbl,py,sh,158,0.128,0.226,0.267,0.0,0.0018987341772151909,0.4946202531645568,0.3984177215189872,0.0,0.0,0.09125000000000005,0.09102564102564105,0.14358974358974358,0.09500000000000001
0,baseline,py,sh,158,0.126,0.258,0.309,0.0,0.004430379746835444,0.49082278481012664,0.3911392405063292,0.0,0.0,0.18125,0.1076923076923077,0.0807692307692308,0.08375000000000003
0,exp,py,sh,158,0.105,0.243,0.304,0.0,0.0018987341772151902,0.475632911392405,0.4319620253164559,0.0,0.0,0.11500000000000002,0.07051282051282055,0.09871794871794873,0.07750000000000001
0,exp-lbl,cpp,py,147,0.551,0.669,0.696,0.0,0.0,0.139795918367347,0.3091836734693878,0.0,0.0,0.7828947368421052,0.5430555555555556,0.495945945945946,0.37083333333333335
0,exp,cpp,py,149,0.572,0.694,0.723,0.0,0.0,0.1332214765100671,0.2942953020134228,0.0,0.0,0.8355263157894738,0.5635135135135135,0.5592105263157895,0.3180555555555556
0,baseline,cpp,py,149,0.38,0.591,0.659,0.0,0.0,0.5050335570469795,0.11543624161073825,0.0,0.0,0.6513157894736842,0.40675675675675677,0.26710526315789473,0.18333333333333335
0,exp-lbl,lua,py,145,0.478,0.563,0.59,0.0,0.0,0.21034482758620687,0.31172413793103443,0.0,0.0,0.6162162162162163,0.6416666666666667,0.44305555555555554,0.2069444444444445
0,exp-lbl-d,lua,py,145,0.467,0.546,0.565,0.0,0.0,0.20482758620689653,0.32827586206896553,0.0,0.0,0.5986486486486485,0.5708333333333333,0.4888888888888888,0.20555555555555557
0,exp,lua,py,145,0.456,0.535,0.567,0.0,0.0,0.19827586206896555,0.34620689655172404,0.0,0.0,0.6391891891891891,0.6055555555555556,0.38888888888888895,0.18333333333333332
0,baseline,lua,py,145,0.376,0.549,0.587,0.0,0.0,0.42931034482758623,0.19517241379310346,0.0,0.0,0.5162162162162163,0.5291666666666667,0.34305555555555556,0.10972222222222225
0,exp,py,rb,161,0.028,0.069,0.095,0.0,0.01894409937888199,0.8636645962732916,0.08105590062111805,0.008695652173913044,0.0,0.03658536585365855,0.057499999999999996,0.016250000000000007,8.326672684688674e-18
0,exp-lbl,py,rb,161,0.11,0.195,0.233,0.0,0.050931677018633534,0.7400621118012425,0.09161490683229813,0.007453416149068324,0.0,0.18048780487804877,0.13125000000000003,0.09875,0.027500000000000024
0,exp-lbl-d,py,rb,161,0.13,0.247,0.301,0.0,0.061490683229813665,0.7043478260869567,0.10186335403726711,0.0021739130434782613,0.0,0.19024390243902436,0.19125000000000003,0.1025,0.03500000000000002
0,baseline,py,rb,161,0.086,0.167,0.204,0.0,0.04751552795031055,0.6944099378881989,0.16677018633540375,0.004968944099378881,0.0,0.1207317073170732,0.1375,0.08250000000000002,0.003750000000000017
0,exp-lbl,py,scala,160,0.316,0.441,0.48,0.1834375,0.19468750000000004,0.0609375,0.22843749999999993,0.016875,0.0,0.39249999999999996,0.44749999999999995,0.26,0.16250000000000003
0,exp,py,scala,160,0.291,0.429,0.475,0.16375000000000003,0.21218750000000006,0.051875000000000004,0.2643749999999999,0.0165625,0.0,0.36625,0.4600000000000001,0.23125,0.10750000000000001
0,exp-lbl-d,py,scala,160,0.306,0.432,0.468,0.1778125,0.20749999999999996,0.06406250000000001,0.23875000000000002,0.006250000000000001,0.0,0.34875,0.4725,0.26125000000000004,0.14
0,baseline,py,scala,160,0.294,0.424,0.465,0.1587500000000001,0.2303125000000001,0.0578125,0.24218749999999994,0.0171875,0.0,0.37749999999999995,0.45625,0.22125,0.11999999999999997
0,exp-lbl-d,py,swift,161,0.273,0.336,0.358,0.09316770186335407,0.28540372670807446,0.27639751552795033,0.07236024844720496,0.0,0.0,0.3304878048780488,0.375,0.23875000000000002,0.145
0,baseline,py,swift,161,0.205,0.262,0.289,0.07763975155279504,0.1956521739130435,0.39254658385093166,0.12888198757763977,0.0,0.0,0.3341463414634146,0.29000000000000004,0.14875,0.04500000000000002
0,exp,py,swift,161,0.238,0.304,0.333,0.08167701863354038,0.274223602484472,0.3229813664596274,0.0832298136645963,0.0,0.0,0.36341463414634145,0.335,0.16625000000000004,0.08375000000000005
0,exp-lbl,py,swift,161,0.254,0.323,0.35,0.07981366459627327,0.3046583850931677,0.2664596273291925,0.09503105590062112,0.0,0.0,0.2573170731707317,0.37875000000000003,0.25749999999999995,0.12250000000000001
0,exp-lbl-d,py,ts,159,0.399,0.463,0.49,0.04025157232704403,0.0,0.3946540880503145,0.16635220125786165,0.0,0.0,0.45499999999999996,0.54125,0.3166666666666667,0.28
0,baseline,py,ts,159,0.448,0.52,0.545,0.0270440251572327,0.0,0.260691823899371,0.2644654088050315,0.0,0.0,0.5062500000000001,0.525,0.43461538461538457,0.325
0,exp-lbl,py,ts,159,0.43,0.496,0.517,0.02547169811320754,0.0,0.36132075471698105,0.1833333333333333,0.0,0.0,0.485,0.5887499999999999,0.3282051282051282,0.315
0,exp,py,ts,159,0.437,0.516,0.542,0.02735849056603774,0.0,0.23805031446540886,0.2974842767295598,0.0,0.0,0.49874999999999997,0.5499999999999999,0.4,0.29874999999999996
0,baseline,py,cpp,161,0.412,0.493,0.519,0.0003105590062111804,0.09409937888198756,0.11086956521739132,0.3816770186335402,0.0009316770186335405,0.0,0.5439024390243902,0.6,0.34875,0.1525
0,exp-lbl,py,cpp,161,0.397,0.476,0.495,0.0021739130434782613,0.09440993788819876,0.1251552795031056,0.37919254658385093,0.002484472049689442,0.0,0.4792682926829268,0.5712499999999999,0.34375,0.19
0,exp,py,cpp,161,0.382,0.467,0.487,0.0003105590062111804,0.08602484472049689,0.09751552795031054,0.4338509316770183,0.0006211180124223608,0.0,0.5292682926829267,0.56375,0.28874999999999995,0.14125000000000001
0,exp-lbl-d,py,cpp,161,0.384,0.458,0.489,0.0,0.11925465838509318,0.13819875776397517,0.3512422360248448,0.006832298136645963,0.0,0.501219512195122,0.4800000000000001,0.39375000000000004,0.16
0,exp-lbl-d,java,cpp,155,0.469,0.559,0.588,0.0,0.18838709677419357,0.06064516129032258,0.2735483870967742,0.00806451612903226,0.0,0.6128205128205129,0.573076923076923,0.443421052631579,0.24743589743589745
0,exp-lbl,java,cpp,155,0.477,0.573,0.61,0.0,0.1496774193548387,0.05548387096774193,0.3112903225806452,0.0064516129032258064,0.0,0.567948717948718,0.576923076923077,0.48157894736842105,0.28205128205128205
